Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite,Chrome 121.0.0.0,,,06-02-2024 20:24:33,06-02-2024 20:33:15,8m - 41.500s,FAILED
,,,,,,,
Test Cases/TC_Amazon_Home_001,Chrome 121.0.0.0,,,06-02-2024 20:24:34,06-02-2024 20:25:14,40.075s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,06-02-2024 20:24:35,06-02-2024 20:24:40,4.873s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,06-02-2024 20:24:40,06-02-2024 20:24:42,1.994s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TC_Amazon_Home_001_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Chrome 121.0.0.0,,,06-02-2024 20:24:42,06-02-2024 20:25:07,25.203s,PASSED
"setText(findTestObject(""Object Repository/TC_Amazon_Home_001_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""da vinci code"")",Chrome 121.0.0.0,,,06-02-2024 20:25:07,06-02-2024 20:25:08,1.561s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_001_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,06-02-2024 20:25:08,06-02-2024 20:25:13,4.800s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,06-02-2024 20:25:13,06-02-2024 20:25:14,0.719s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Home_002,Chrome 121.0.0.0,,,06-02-2024 20:27:07,06-02-2024 20:27:43,36.630s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,06-02-2024 20:27:07,06-02-2024 20:27:10,2.650s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,06-02-2024 20:27:10,06-02-2024 20:27:11,1.902s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_002_OR/Page_Amazon.com. Spend less. Smile more/span_Sign in""))",Chrome 121.0.0.0,,,06-02-2024 20:27:11,06-02-2024 20:27:43,32.011s,FAILED
,,,,,,,
Test Cases/TC_Amazon_Home_003,Chrome 121.0.0.0,,,06-02-2024 20:27:43,06-02-2024 20:29:02,1m - 18.300s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,06-02-2024 20:27:44,06-02-2024 20:27:46,2.590s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,06-02-2024 20:27:46,06-02-2024 20:27:48,1.469s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 121.0.0.0,,,06-02-2024 20:27:48,06-02-2024 20:28:19,31.686s,PASSED
"setText(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon Sign-In/input_email""), ""gummallajahnavi2002@gmail.com"")",Chrome 121.0.0.0,,,06-02-2024 20:28:19,06-02-2024 20:28:21,1.657s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon Sign-In/inputcontinue""))",Chrome 121.0.0.0,,,06-02-2024 20:28:21,06-02-2024 20:28:23,1.843s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon Sign-In/input_password""), ""RY21l9ks7eId//V36v5VDA=="")",Chrome 121.0.0.0,,,06-02-2024 20:28:23,06-02-2024 20:28:24,1.077s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon Sign-In/inputsignInSubmit""))",Chrome 121.0.0.0,,,06-02-2024 20:28:24,06-02-2024 20:28:25,0.554s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=fashion-girls-intl-ship"", true)",Chrome 121.0.0.0,,,06-02-2024 20:28:25,06-02-2024 20:28:31,6.688s,PASSED
"setText(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""lipstick"")",Chrome 121.0.0.0,,,06-02-2024 20:28:31,06-02-2024 20:28:33,1.427s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,06-02-2024 20:28:33,06-02-2024 20:28:41,8.161s,PASSED
